2023-07-21 07:38:08,811 INFO    StreamThr :3048 [internal.py:wandb_internal():86] W&B internal server running at pid: 3048, started at: 2023-07-21 07:38:08.811960
2023-07-21 07:38:08,827 DEBUG   HandlerThread:3048 [handler.py:handle_request():144] handle_request: status
2023-07-21 07:38:08,827 INFO    WriterThread:3048 [datastore.py:open_for_write():85] open: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_073808-27qplc4z\run-27qplc4z.wandb
2023-07-21 07:38:08,827 DEBUG   SenderThread:3048 [sender.py:send():369] send: header
2023-07-21 07:38:08,874 DEBUG   SenderThread:3048 [sender.py:send():369] send: run
2023-07-21 07:38:09,735 INFO    SenderThread:3048 [dir_watcher.py:__init__():211] watching files in: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_073808-27qplc4z\files
2023-07-21 07:38:09,735 INFO    SenderThread:3048 [sender.py:_start_run_threads():1100] run started: 27qplc4z with start time 1689905288.827554
2023-07-21 07:38:09,736 DEBUG   SenderThread:3048 [sender.py:send_request():396] send_request: summary_record
2023-07-21 07:38:09,737 INFO    SenderThread:3048 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2023-07-21 07:38:09,739 DEBUG   HandlerThread:3048 [handler.py:handle_request():144] handle_request: check_version
2023-07-21 07:38:09,739 DEBUG   SenderThread:3048 [sender.py:send_request():396] send_request: check_version
2023-07-21 07:38:09,938 DEBUG   HandlerThread:3048 [handler.py:handle_request():144] handle_request: run_start
2023-07-21 07:38:09,968 DEBUG   HandlerThread:3048 [system_info.py:__init__():31] System info init
2023-07-21 07:38:09,968 DEBUG   HandlerThread:3048 [system_info.py:__init__():46] System info init done
2023-07-21 07:38:09,968 INFO    HandlerThread:3048 [system_monitor.py:start():181] Starting system monitor
2023-07-21 07:38:09,968 INFO    SystemMonitor:3048 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-07-21 07:38:09,968 INFO    HandlerThread:3048 [system_monitor.py:probe():201] Collecting system info
2023-07-21 07:38:09,968 INFO    SystemMonitor:3048 [interfaces.py:start():190] Started cpu monitoring
2023-07-21 07:38:09,968 INFO    SystemMonitor:3048 [interfaces.py:start():190] Started disk monitoring
2023-07-21 07:38:09,968 INFO    SystemMonitor:3048 [interfaces.py:start():190] Started gpu monitoring
2023-07-21 07:38:09,968 INFO    SystemMonitor:3048 [interfaces.py:start():190] Started memory monitoring
2023-07-21 07:38:09,984 INFO    SystemMonitor:3048 [interfaces.py:start():190] Started network monitoring
2023-07-21 07:38:09,984 DEBUG   HandlerThread:3048 [system_info.py:probe():195] Probing system
2023-07-21 07:38:09,984 DEBUG   HandlerThread:3048 [system_info.py:_probe_git():180] Probing git
2023-07-21 07:38:10,063 DEBUG   HandlerThread:3048 [system_info.py:_probe_git():188] Probing git done
2023-07-21 07:38:10,063 DEBUG   HandlerThread:3048 [system_info.py:probe():240] Probing system done
2023-07-21 07:38:10,063 DEBUG   HandlerThread:3048 [system_monitor.py:probe():210] {'os': 'Windows-10-10.0.22621-SP0', 'python': '3.11.3', 'heartbeatAt': '2023-07-21T02:08:09.984466', 'startedAt': '2023-07-21T02:08:08.811960', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': 'c:\\Users\\soham\\Automated-renal-compartment-segmentation-of-the-kidneys\\main.py', 'codePath': 'main.py', 'git': {'remote': 'https://github.com/sohamtalukdar/Automated-renal-compartment-segmentation-of-the-kidneys.git', 'commit': 'da2b51a93b575dad875e931859fffe71f401927b'}, 'email': None, 'root': 'C:/Users/soham/Automated-renal-compartment-segmentation-of-the-kidneys', 'host': 'DESKTOP-JBMBUJO', 'username': 'soham', 'executable': 'C:\\Users\\soham\\anaconda3\\python.exe', 'cpu_count': 4, 'cpu_count_logical': 4, 'cpu_freq': {'current': 3600.0, 'min': 0.0, 'max': 3600.0}, 'cpu_freq_per_core': [{'current': 3600.0, 'min': 0.0, 'max': 3600.0}], 'disk': {'total': 129.74865341186523, 'used': 75.59395980834961}, 'gpu': 'NVIDIA GeForce GTX 1660 SUPER', 'gpu_count': 1, 'gpu_devices': [{'name': 'NVIDIA GeForce GTX 1660 SUPER', 'memory_total': 6442450944}], 'memory': {'total': 15.943431854248047}}
2023-07-21 07:38:10,063 INFO    HandlerThread:3048 [system_monitor.py:probe():211] Finished collecting system info
2023-07-21 07:38:10,063 INFO    HandlerThread:3048 [system_monitor.py:probe():214] Publishing system info
2023-07-21 07:38:10,063 DEBUG   HandlerThread:3048 [system_info.py:_save_pip():51] Saving list of pip packages installed into the current environment
2023-07-21 07:38:10,064 DEBUG   HandlerThread:3048 [system_info.py:_save_pip():67] Saving pip packages done
2023-07-21 07:38:10,065 DEBUG   HandlerThread:3048 [system_info.py:_save_conda():74] Saving list of conda packages installed into the current environment
2023-07-21 07:38:10,750 INFO    Thread-16 :3048 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_073808-27qplc4z\files\wandb-summary.json
2023-07-21 07:38:10,750 INFO    Thread-16 :3048 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_073808-27qplc4z\files\requirements.txt
2023-07-21 07:38:10,750 INFO    Thread-16 :3048 [dir_watcher.py:_on_file_created():272] file/dir created: C:\Users\soham\Automated-renal-compartment-segmentation-of-the-kidneys\wandb\run-20230721_073808-27qplc4z\files\conda-environment.yaml
